spare_parts,quantity,costs,sale_price,date,total_revenue
Wheel,24,30,53,1 01 2020,"$1,272"
Tyre,20,80,110,2 01 2020,"$2,200"
Battery,46,85,95,3 01 2020,"$4,370"
Air Filter,37,36,48,4 01 2020,"$1,776"
Oil Filter,28,96,120,5 01 2020,"$3,360"
Spark Plug,49,20,42,6 01 2020,"$2,058"
Brake Pad,23,28,45,7 01 2020,"$1,035"
Timing Belt,22,87,146,8 01 2020,"$3,212"
Water Pump,38,31,50,9 01 2020,"$1,900"
Fuel Filter,31,56,93,10 01 2020,"$2,883"
Wheel,24,30,53,3 01 2020,"$1,272"
Tyre,20,80,110,2 01 2020,"$2,200"
Battery,46,85,95,3 01 2020,"$4,370"
Air Filter,30,36,48,4 01 2020,"$1,440"
Oil Filter,20,96,120,5 01 2020,"$2,400"
Spark Plug,51,20,42,6 01 2020,"$2,142"
Brake Pad,25,28,45,7 01 2020,"$1,125"
Timing Belt,18,87,146,8 01 2020,"$2,628"
Water Pump,31,31,50,9 01 2020,"$1,550"
Fuel Filter,25,56,93,11 01 2020,"$2,325"
